id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/5506083081141279166,punch software 26100 punch! master landscape and home design (small box),punch! master landscape & home design offers an extensive plantings database deck topography and new technology integrating your actual home photos into infinite 3d views. punch! master landscape & home design includes an extensive sortable ...,punch software,45.99
http://www.google.com/base/feeds/snippets/18286585073343765950,tri synergy inc oxford world encyclopedia,here is an authoritative stimulating and up-to-date reference work with over 1.5 million words and 20000 entries. oxford world encyclopedia is the first in a new series of reference works from oxford university press featuring ifinger's software,,16.31
http://www.google.com/base/feeds/snippets/11029185598470444071,instant immers japanese dlx 2.,topics entertainment instant immersion japanese deluxe 2.0 from the publisher of the nation's 1 selling instant immersion language line comes instant immersion japanese deluxe a comprehensive approach to language study focusing on listening reading ...,,36.11
http://www.google.com/base/feeds/snippets/17724977097925207764,allume systems inc mediarecover,mediarecover retrieves your lost photos audio and videos from your cameras pdas and cellular phone's removable memory devices. system requirements: microsoft windows xp or vista or macintosh os x 10.3.9 or higher universal binary. com,,26.14
http://www.google.com/base/feeds/snippets/16744224390148606478,masque publishing best of slots ii,actual casino slot machines from bally gaming! play the most popular slots from the casino featuring the hottest games from bally gaming. actual casino slot action can be found in these authentic replications playable on your home computer. sys,,8.46
http://www.google.com/base/feeds/snippets/16874485945364761422,aspyr media inc travelogue 360: paris,,,27.99
http://www.google.com/base/feeds/snippets/17133221075889749370,encore software 10485 - encore printmaster v.17.0 platinum - complete product - creativity application - 1 user - complete product - standard - pc,encore software 10485 : if you've got a passion for creative self-expression you'll find endless inspiration in this sophisticated easy-to-use program. enjoy all of the great features you expect from printmaster plus brilliant upgrades that make ...,,33.97
http://www.google.com/base/feeds/snippets/7744548491761569898,sims 2 open for business,system requirements: requires the full version of the sims 2 for mac os x to play. operating system: mac os x 10.3.9 or later cpu processor: powerpc g4/g5 or intel chipset cpu speed: 1.2ghz or faster memory: 256 mb or higher (512 mb recommended) ...,,34.99
http://www.google.com/base/feeds/snippets/11022538834870557563,zonealarm internet security suite 2007 (pc) zonelabs,key features: all-in-one protection antivirus protection identity theft protection firewalls e-mail security parental control...,,49.99
http://www.google.com/base/feeds/snippets/124870490385972224,microsoft 121-00324 - visual studio team suite 2005 with msdn premium subscriptions - complete product - software development - standard - 1 user(s) - complete product - english - pc- free shipping,microsoft 121-00324 : design develop and test modern service-oriented solutions. team suite combines the visual studio team system role-based products into a set that address the needs of multifunctional roles in an organization. with visual ...,,10015.97
http://www.google.com/base/feeds/snippets/18396354299258717606,autodesk 34006-010008-160 raster design 2006 essentials,raster design 2006 essentials,autodesk,52.99
http://www.google.com/base/feeds/snippets/11038012533329162078,encore software 11430 - axis & allies collectors edition - win 98 me 2000 xp,encore software 11430 : axis & allies puts wwii in your hands! direct land sea and air units and experience the most epic battles in real time! system requirements: operating system: windows 98se/me/2000/xp processor: pentium iii 1.5 ghz (pentium ...,,18.97
http://www.google.com/base/feeds/snippets/17192736847409473684,individual software inc total 3d home & landscape deluxe 9,home and landscape design software designed for homeowners. whether you are decorating a room landscaping your garden or designing your dream home you'll have all the tools you need. system requirements: pentium iii pc or faster,,33.5
http://www.google.com/base/feeds/snippets/14493833507639383996,mp3 radio recorder for ipod,overview now legal mp3 recording from the webcast music server made possible with x-oom mp3 radio recorder for ipod. webcast is a webbased radio streaming server. it is widely used by a lot of people so you can freely listen to your favourite music. ...,,22.9
http://www.google.com/base/feeds/snippets/7898902077337932386,corel painter x,system requirements mac os x (version 10.3.9 or higher with latest revision applied) macintosh® computer with a 700 mhz or faster power pc® g4 power pc g5 or intel® processor 256 mb of ram (512 mb recommended) mouse or tablet 24-bit color display ...,,395.99
http://www.google.com/base/feeds/snippets/17229680859570691562,punch software pro platinum v 12.0,punch! professional home design platinum v12 adds improved performance and feature set to the already easy-to-use industry leader in home and landscape design. system requirements: intel pentium celeron xeon or centrino or amd,,87.61
http://www.google.com/base/feeds/snippets/528675562457283213,adobe photoshop elements 4.0 mac academic,system requirements: powerpc® g3 g4 or g5 processor mac os x v.10.3 or 10.4 256mb of ram 750mb of available hard-disk space 1024x768 16-bit (xga) display cd-rom drive product datasheet [pdf: 1.1mb],,69.99
http://www.google.com/base/feeds/snippets/17149576701498164512,emedia music corp emedia piano & keyboard method,emedia piano and keyboard method cd-rom offers everything you need to learn how to play. over 300 step-by-step lessons start from basics such as hand position rhythm and playing on black keys and move on to music notation sight reading scales ...,,49.21
http://www.google.com/base/feeds/snippets/4436087621332035022,me too software i transfer dvds 2 ipod,,,29.99
