id,title,description,manufacturer,price
b000k2nktg,h&r block taxcut 2006 premium federal,h&r block taxcut premium federal has everything you need in one comprehensive program for any tax situation from 1040ez to schedule c. step-by-step interviews provide guidance customized to your unique needs. h&r block taxcut: the ease you want. the accuracy you expect. guaranteed. seamless integration find every feature and form from last year's deluxe and premium in just one program and let taxcut seamlessly import your data from last year's taxcut or turbotax as well as quicken and microsoft money. customized to your needs make the most of money-saving deductions. receive guidance on claiming dependents taking a home office deduction and much more. save money with useful tips covering charitable donations rentals dividends interest capital gains and more. backed by professionals taxcut is the only do-it-yourself tax program backed by the experienced tax professionals at h&r block america's largest tax services company. estate planning empowerment includes complimentary copy of willpower software with valuable estate planning guidance and legal documents. interactive video library make sense of changing tax laws and achieve maximum deductions. extension interview included with any federal taxcut software purchase. kiplinger's tax and financial planning library make the most of your money with tax and financial information. irs publications view the most up-to-date irs publications. schedule c features extra help with depreciation business expenses and home deductions. investor assistance quickly determine the true cost basis for stocks bonds or mutual funds and tax consequences associated with company incentives and employee stock. additional tools for home owners assistance with mortgage deductions and capital gains tax liability when selling a home. worry-free audit support features irs correspondence management h&r block will assist with all communication that is initiated by the irs/state department of revenue(s) audit preparation h&r block will provide detailed information regarding how to prepare for an audit and extend an offer for an h&r block enrolled agent to represent you in the event an audit.* audit representation an h&r block enrolled agent guides you through what to expect during the audit attends the audit with you and helps you manage the entire audit experience. worry-free audit support rest easy knowing h&r block is there to help in the event of an audit. from outlining what to expect and providing guidance on how to prepare for an audit to having an h&r block enrolled agent represent you before the irs upon your request h&r block can help you manage the process. how it works: 1. successfully e-file* your individual resident income tax return (federal or state) using taxcut or taxcut online (with paid federal return) and you are eligible to receive audit support at no additional charge for your 2005 return. 2. retain your e-file confirmation email for worry-free audit support confirmation. 3. if you receive a notice from the irs or state department of revenue or are audited h&r block will provide you with assistance with the notice and/or offer to provide you with an h&r block enrolled agent to represent you if you are audited.* 4. call 1-800-hrblock to initiate audit services that you may need. conditions apply. view the complete terms and conditions for details. questions & answers: q. can i do my taxes by hand and then sign up for worry-free audit support? a. no. h&r block worry-free audit support is only offered for returns e-filed with an h&r block digital tax product. q. who will benefit using worry-free audit support? a. those clients who want no surprises after filing their taxes. it's a smart way to make sure you're covered no matter how complex your tax situation. the benefits of worry-free audit support will be invaluable in the event that you need representation because the irs questions your tax return. q. what is an enrolled agent? a. enrolled agents are tax professionals who have demonstrated special competence in tax matters and can represent taxpayers before the irs. enrolled agents do not provide legal representation signed power of attorney required. void where prohibited. q. what are the services offered with worry-free audit support? * enrolled agents do not provide legal representation signed power of attorney required. void where prohibited.,h&r block,19.99
b0001xdysq,sibelius compass,,sibelius software ltd.,159.99
b000f7gysa,irispen express translator,the irispen express translator is the fastest and most accurate pen scanner on the market! it's been redesigned to be lighter more compact and more ergonomically correct. you hold it like a highlighter - just slide the pen over the printed text. the usb-powered scanning pen easily connects to your laptop or desktop company. with an accuracy rate of over 99% the irispen express is the perfect tool for home business or school! scans wavy and distorted images programmable pen buttons - easily assign keyboard commands to the 2 pen buttons (enter space tab cursor up etc.) idle mode reduces power consumption powered by usb port - no need for external power supply directly connect to a pc notebook pocket pc tablet pc and macintosh devices,iris,149.99
b000trgqqg,travelogue 360: paris,among its renowned landmarks and hidden gems waiting to be discovered paris holds something new for each of its visitors. scour some of the world's most famous locations for souvenirs as you prepare to be interviewed for an upcoming article in travelogue 360 magazine. locate items hidden in 3-dimensional views of the eiffel tower down the champs elysees under the arc d'triomphe and others of paris' most beloved landmarks. find your own paris in this incredible voyage.,aspyr media,29.99
b00024wjrq,best of slots 2 (jewel case),best of slots ii lets you play the most popular slots from the casino. it features the hottest games from bally gaming. actual casino slot action can be found in these authentic replications all playable on your home computer!,masque publishing,9.99
b000enucs8,punch! master landscape professional & home design v 10.0,master landscape pro and home design makes it simple to realize the full potential of your landscaping and design projects. it's got a powerful robust way to to edit specify precise dimensions display options and more. there are also new enhancements for photorealistic lighting custom objects and more. punch! powertools expand the functionality of your designs and adds more flexibility to your landscaping design experience. import and export all. dwg files complete framing editor deck wizard layout manager and curved wall tool punch! animator powertools,punch! software,69.95
b000eu10wi,phase one capture one pro win/mac,capture one pro is workflow software that integrates perfectly with your dslr camera enabling full control over your images from capture to print. this full digital workflow solution matches the high demands of the modern professional photographer. you'll create print-ready images with amazing quality by means of a few simple steps saving you a great deal of time and effort. as an extra bonus you get access to phase one's patent-pending image processing algorithms which deliver the highest image quality in the respective ccd or cmos sensor class. added support for canon's eos 10d 300d d30 d60 cameras individual noise-reduction for each image individual camera profile for each image image saturation adjustment slider automatic levels adjustment quick develop allows fast conversion to tiff or jpeg dual-image view to compare two images side-by-side,phase one,499
b000bb7fjw,web graphics creator,,sos aggregation company,39.95
b0009dwkwo,apple remote desktop 2.2 10 client (old version),remote desktop 2.2 makes it easier than it's ever been to manage a network and install new software. with over 50 new features and countless enhancements you'll manage your network effcieintly without having to leave your office. state-of-the-art software distribution makes installing software a virtual walk in the park. distribute software configure systems offer real-time online help and create detailed hardware and software reports. extend a helping hand without leaving your desk with tools for the best technical assistance possible. use remote shell scripts to take the legwork out of your administrative tasks - shut down restart or sleep any mac in your network without getting up from your desk as well as lock screens or empty trash. if you're an administrator you'll know everything you need to know about your macs -- the available hard drive space network settings and software version even when they're offline. stores profiles for every mac whether it's on the network permanently or leaves regularly; tracks offline computers and updates their information for better managing of powerbooks and ibooks,apple,299
b000056b62,cook'n vegetarian,featuring recipes for tasty and healthful meatless dishes made with fresh ingredients the cook'n vegetarian cd also includes a selection of almost-instant recipes with preparation times of 30 minutes or less. many of the cook'n vegetarian cd's recipes use less fats sugars and salts and bring out the natural nutritional properties in everyday foods. recipe selection is made simple: type in what ingredients you have on hand and search for recipes utilizing those ingredients. other features include:hundreds of full-color food photos organize your own recipes e-mail recipes to your friends print your recipes on decorative 3-by-5 cards create weekly menus make grocery shopping lists search the internet for coupons analyze the nutritional value of your recipes download recipes and shopping lists to your palm pilot,dvo enterprises,19.99
